Address,Category,Name,Phone,Price,Rating,Reviews
"700 Polk St,San Francisco,CA,94109",,Son & Garden,(415) 913-7404,,4.5,37
"974 Valencia St,San Francisco,CA,94110","Mexican,Tapas/Small Plates",Loló,(415) 643-5656,$11-30,4.0,2192
"560 Divisadero St,San Francisco,CA,94117","American (New),Desserts,Cocktail Bars",Nopa,(415) 864-8643,$31-60,4.0,5059
"800 N Point St,San Francisco,CA,94109","American (New),French,Wine Bars",Gary Danko,(415) 749-2060,Above $61,4.5,5516
"Pier 39,Ste 103,San Francisco,CA,94133","Seafood,Bars,Sandwiches",Pier Market Seafood Restaurant,(415) 989-7437,$11-30,4.0,2107
"1906 Van Ness Ave,San Francisco,CA,94109","American (Traditional),Steakhouses,Wine Bars",House Of Prime Rib,(415) 885-4605,$31-60,4.0,7172
"Pier 39,Ste A-202,San Francisco,CA,94133","Seafood,Bars",Fog Harbor Fish House,(415) 421-2442,$11-30,4.0,6041
"353 Columbus Ave,San Francisco,CA,94133",Italian,Mona Lisa Restaurant,(415) 989-4917,$11-30,4.0,1692
"75 Yerba Buena Ln,San Francisco,CA,94103","Cocktail Bars,Tacos",Tropisueno,(415) 243-0299,$11-30,4.0,4452
"1031 Irving St,San Francisco,CA,94122","Chinese,Chicken Wings,Noodles",San Tung,(415) 242-0828,$11-30,4.0,6840
"335 Noe St,San Francisco,CA,94114","Dim Sum,Asian Fusion",Dumpling House,(415) 829-2789,$11-30,4.0,153
"2175 Chestnut St,San Francisco,CA,94123","Italian,Cocktail Bars,Pizza",Delarosa,(415) 673-7100,$11-30,4.0,1523
"2000 Union St,San Francisco,CA,94123","Vegetarian,Vegan,Cocktail Bars",Wildseed,(415) 872-7350,$11-30,4.5,285
"200 Jackson St,San Francisco,CA,94111","Greek,Mediterranean",Kokkari Estiatorio,(415) 981-0983,$31-60,4.5,4515
"518 Haight St,San Francisco,CA,94117","Japanese,Sushi Bars",Nara Restaurant & Sake Bar,(415) 638-6124,$11-30,4.5,1054
"108B Carl St,San Francisco,CA,94117","Italian,Wine Bars",InoVino,(415) 681-3770,$11-30,4.5,154
"1320 Castro St,San Francisco,CA,94114",Malaysian,Mahila,(628) 867-3570,$11-30,4.0,132
"641 Vallejo St,San Francisco,CA,94133","Italian,Pizza,Whiskey Bars",Capo's by Tony Gemignani,(415) 986-8998,$11-30,4.5,811
"3848 Geary Blvd,San Francisco,CA,94118","Italian,Vermouth Bars,Gastropubs",Osteria Bella,(415) 221-0305,$11-30,4.5,117
"2652 Judah St,San Francisco,CA,94122","Hot Pot,Buffets,Sports Bars",The Pot's,(415) 682-7889,$11-30,4.0,697
"558 Sacramento St,San Francisco,CA,94111",American (Traditional),Wayfare Tavern,(415) 772-9060,$31-60,4.0,3899
"1785 Fulton St,San Francisco,CA,94117","Breweries,American (Traditional),Venues & Event Spaces",Barrel Head Brewhouse,(415) 416-6989,$11-30,4.0,548
"4348 California St,San Francisco,CA,94118",Burmese,Mandalay,(415) 386-3896,$11-30,4.0,2144
"3230 Mission St,San Francisco,CA,94110",Italian,Emmy's Spaghetti Shack,(415) 206-2086,$11-30,4.0,549
"The Embarcadero,Pier 5,San Francisco,CA,94105","Spanish,Tapas/Small Plates",Coqueta,(415) 704-8866,$31-60,4.0,2084
"1009 Guerrero St,San Francisco,CA,94110",,Fenikkusu,(415) 923-8600,,4.5,22
"1725 Alameda St,San Francisco,CA,94103","Seafood,Japanese,Asian Fusion",Skool,(415) 255-8800,$11-30,4.0,1761
"941 Cole St,San Francisco,CA,94117","Breakfast & Brunch,French",Zazie,(415) 564-5332,$11-30,4.0,4378
"993 Mission St,San Francisco,CA,94103","Speakeasies,Wine Bars,Tapas Bars",The Pawn Shop,(415) 874-8041,$11-30,4.5,238
"500 Brannan St,San Francisco,CA,94107","American (New),Brasseries",Marlowe,(415) 777-1413,$11-30,4.0,2718
"1560 Fillmore St,San Francisco,CA,94115","Tapas/Small Plates,Lounges,Izakaya",Izakaya KOU,(415) 441-9294,$11-30,4.0,806
"2332 Clement St,San Francisco,CA,94121","Seafood,Vietnamese,Asian Fusion",PPQ Dungeness Island,(415) 386-8266,$11-30,4.0,3053
"564 S Van Ness Ave,San Francisco,CA,94110",,Pinche Sushi,,,5.0,14
"5801 Geary Blvd,San Francisco,CA,94121","Taiwanese,Asian Fusion",Hodala,(415) 702-9510,$11-30,4.0,481
"311 Divisadero St,San Francisco,CA,94117","Italian,Pizza",Ragazza,(415) 255-1133,$11-30,4.0,664
"672 Geary St,San Francisco,CA,94102","Ramen,Noodles",Mensho Tokyo,(415) 800-8345,$11-30,4.0,2211
"2491 Mission St,San Francisco,CA,94110","Gastropubs,Venues & Event Spaces",Myriad Gastropub,(415) 525-4335,$11-30,4.5,615
"1052 Folsom St,San Francisco,CA,94103","Fondue,American (New)",Fondue Cowboy,(415) 431-5100,$11-30,4.0,628
"1120-30 4th St,San Francisco,CA,94158",Ethiopian,Tadu Ethiopian Kitchen,(415) 655-9344,$11-30,4.5,249
"3120 16th St,San Francisco,CA,94103","Spanish,Basque,Tapas Bars",Picaro,(415) 431-4089,$11-30,4.0,1580
"2346 Chestnut St,San Francisco,CA,94123","American (New),Burgers,Breakfast & Brunch",Causwells,(415) 447-6081,$11-30,4.0,751
"1 Ferry Bldg,Shop 11,San Francisco,CA,94111","Seafood,Seafood Markets,Live/Raw Food",Hog Island Oyster Co,(415) 391-7117,$11-30,4.5,5978
"737 Diamond St,San Francisco,CA,94114",Italian,Bacco,(415) 282-4969,$11-30,4.0,454
"901 Cole St,San Francisco,CA,94117","Mexican,Breakfast & Brunch,Cocktail Bars",Padrecito,(415) 742-5505,$11-30,4.0,928
"1914 Fillmore St,San Francisco,CA,94115","Seafood,American (New)",Woodhouse Fish Company,(415) 437-2722,$11-30,4.0,2235
"2325 Taraval St,San Francisco,CA,94116",,The Mango Tree,(415) 564-4464,,4.5,11
"834 Divisadero St,San Francisco,CA,94117",Italian,Che Fico Alimentari,(415) 416-6980,$31-60,4.0,52
"4109 24th St,San Francisco,CA,94114",Italian,Lupa Trattoria,(415) 282-5872,$11-30,4.0,633
"1500 S Van Ness Ave,Ste 100,San Francisco,CA,94110",Tacos,Tacos El Patrón,(415) 829-7315,$11-30,4.5,203
"1224 9th Ave,San Francisco,CA,94122","Mexican,Comfort Food,Gluten-Free",Nopalito,(415) 233-9966,$11-30,4.0,1325
"531 Divisadero St,San Francisco,CA,94117","Mediterranean,Greek",Souvla,(415) 400-5458,$11-30,4.0,450
"3119 Clement St,San Francisco,CA,94121",Moroccan,El Mansour,(415) 751-2312,$11-30,4.0,620
"511 Irving St,San Francisco,CA,94122","Persian/Iranian,Wine Bars",Lavash,(415) 664-5555,$11-30,4.0,1338
"83 Eddy St,San Francisco,CA,94102",Indian,Little Delhi,(415) 398-3173,$11-30,4.0,1966
"2015 Chestnut St,San Francisco,CA,94123","Italian,French",Castagna,(415) 440-4290,$11-30,4.5,406
"1 Tillman Pl,San Francisco,CA,94108","Southern,American (Traditional),Bars",Hops & Hominy,(415) 373-6341,$11-30,4.0,2116
"3228 16th St,San Francisco,CA,94103","Pizza,Italian",Mozzeria,(415) 489-0963,$11-30,4.5,796
"3854 Geary Blvd,San Francisco,CA,94118",Italian,Bella Trattoria,(415) 221-0305,$11-30,4.0,1405
"1243 9th Ave,San Francisco,CA,94122",Thai,Marnee Thai,(415) 731-9999,$11-30,4.0,1649
"64 14th St,San Francisco,CA,94103","Pizza,Italian,Gastropubs",Pink Onion,(415) 529-2635,$11-30,4.5,376
"312 Divisadero St,San Francisco,CA,94117","Thai,Ramen",Mangrove Kitchen,(415) 552-6881,$11-30,4.0,234
"1500 Irving St,San Francisco,CA,94122","Ramen,Izakaya,Noodles",Izakaya Sozai,(415) 742-5122,$11-30,4.0,2075
"349 Clement St,San Francisco,CA,94118","Greek,Turkish,Mediterranean",Kitchen Istanbul,(415) 753-9479,$31-60,4.5,475
"730 Larkin St,San Francisco,CA,94109","Thai,Wine Bars",Lers Ros,(415) 931-6917,$11-30,4.0,2203
"One Yerba Buena Ln,San Francisco,CA,94103","Brasseries,Steakhouses,Wine Bars",Bluestem Brasserie,(415) 547-1111,$31-60,4.0,1711
"490 Pacific Ave,San Francisco,CA,94133",Italian,Cotogna,(415) 775-8508,$31-60,4.0,1444
"127 Clement St,San Francisco,CA,94118","Burmese,Asian Fusion,Breakfast & Brunch",B Star Bar,(415) 933-9900,$11-30,4.0,1877
"2495 3rd St,San Francisco,CA,94107","American (New),Breakfast & Brunch,Cocktail Bars",Serpentine,(415) 252-2000,$11-30,4.0,1522
"601 Union St,San Francisco,CA,94133","Italian,Steakhouses,Breakfast & Brunch",Original Joe's,(415) 775-4877,$11-30,4.0,1458
"86 Carl St,San Francisco,CA,94117","Arabian,Mediterranean,Lebanese",Beit Rima,(415) 566-1274,$11-30,4.0,31
"2150 Chestnut St,San Francisco,CA,94123","Thai,Breakfast & Brunch,Asian Fusion",Blackwood,(415) 931-9663,$11-30,4.0,1619
"582 Sutter St,San Francisco,CA,94102","Gastropubs,Beer Bar",Hogwash,(415) 361-5500,$11-30,4.5,1056
"3141 16th St,San Francisco,CA,94103","Bars,Gastropubs",The Monk's Kettle,(415) 865-9523,$11-30,4.0,2185
"42 Columbus Ave,San Francisco,CA,94111","Basque,Spanish,Tapas Bars",Bask,(415) 392-2275,$11-30,4.0,636
"430 Mason St,San Francisco,CA,94102","American (New),Cocktail Bars,Bowling",Fifth Arrow,(415) 872-5744,$11-30,4.5,86
"524 Valencia St,San Francisco,CA,94110","Peruvian,Tapas/Small Plates",Limón Rotisserie,(415) 252-0918,$11-30,3.5,2529
"312 8th Ave,San Francisco,CA,94118","Tapas Bars,Izakaya",Halu,(415) 221-9165,$11-30,4.0,884
"3340 Steiner St,San Francisco,CA,94123","French,Italian,American (New)",Bistro Aix,(415) 202-0100,$11-30,4.0,665
"199 Gough St,San Francisco,CA,94102","American (New),Cocktail Bars,Wine Bars",Rich Table,(415) 355-9085,$31-60,4.0,1215
"2018 Lombard St,San Francisco,CA,94123","Spanish,Tapas/Small Plates,Wine Bars",Alegrias,(415) 929-8888,$11-30,4.0,784
"2282 Mission St,San Francisco,CA,94110","Seafood,Fish & Chips",Mission Street Oyster Bar & Seafood Restaurant,(415) 621-6987,$11-30,4.0,589
"501 Geary St,San Francisco,CA,94102","Italian,Wine Bars,Cocktail Bars",Tratto,(415) 292-8151,$11-30,4.0,571
"174 Valencia St,San Francisco,CA,94103","Ramen,Noodles",Orenchi Beyond,(415) 431-3971,$11-30,4.0,645
"4542 Irving St,San Francisco,CA,94122","Seafood,Tacos",Hook Fish,,$11-30,4.5,499
"1175 Folsom St,San Francisco,CA,94103","Thai,Bars",Basil Thai Restaurant & Bar,(415) 552-8999,$11-30,4.0,1508
"809 Bush St,San Francisco,CA,94108","Mexican,Korean,Latin American",Tacorea,(415) 885-1325,$11-30,4.5,1668
"716 Columbus Ave,San Francisco,CA,94133","Italian,Pasta Shops,International Grocery",The Italian Homemade Company,(415) 712-8874,$11-30,4.5,1484
"28 Fremont St,San Francisco,CA,94105","Mediterranean,Tapas/Small Plates",Barcha,(415) 957-5463,$11-30,4.0,455
"1737 Buchanan St,San Francisco,CA,94115",Ramen,Hinodeya Ramen Bar,(415) 757-0552,$11-30,4.0,1067
"4058 18th St,San Francisco,CA,94114","American (New),Wine Bars",Blind Butcher,(415) 529-2478,$11-30,4.0,104
"2312 Market St,San Francisco,CA,94114",,Taco Boys,(415) 829-3609,,5.0,2
"1581 Webster St,Ste 217,Japan Center,San Francisco,CA,94115","Japanese,Noodles,Desserts",Udon Mugizo,(415) 931-3118,$11-30,4.0,833
"420 Judah St,San Francisco,CA,94122",,K POP,(415) 889-9392,,4.5,22
"1521 Hyde St,San Francisco,CA,94109",French,Cocotte,(415) 292-4415,$31-60,4.0,524
"570 Green St,San Francisco,CA,94133","Asian Fusion,Noodles,Breakfast & Brunch",Chubby Noodle,(415) 296-9600,$11-30,4.0,558
"450 Irving St,San Francisco,CA,94122","Singaporean,Malaysian,Indonesian",Lime Tree Southeast Asian Kitchen,(415) 665-1415,$11-30,4.0,1499
"1001 Minnesota St,San Francisco,CA,94107","Italian,Pizza,Coffee & Tea",Piccino,(415) 824-4224,$11-30,4.0,1410
"704 Sutter St,San Francisco,CA,94109","Japanese,Sushi Bars,Asian Fusion",Sanraku,(415) 771-0803,$11-30,4.0,1716
"2406 California St,San Francisco,CA,94115","Pizza,Italian",Pizzeria Delfina - Pacific Heights,(415) 440-1189,$11-30,4.0,1474
"360 Pine St,San Francisco,CA,94104",Italian,Credo,(415) 693-0360,$31-60,4.0,874
"900 N Point St,Ste B-201A,San Francisco,CA,94109",,Palette Tea House,(415) 347-8888,,4.0,566
"750 Ellis St,San Francisco,CA,94109","Southern,Comfort Food,Breakfast & Brunch",Rusty's Southern,(415) 638-6974,$11-30,4.5,1016
"908 Clement St,San Francisco,CA,94118",Indian,Keeva Indian Kitchen,(415) 742-4010,$11-30,4.5,501
"2 Marina Blvd,Bldg A,Fort Mason,San Francisco,CA,94123","Vegetarian,Vegan,Gluten-Free",Greens Restaurant,(415) 771-6222,$31-60,4.0,2041
"1 Ferry Bldg,Ste 3,San Francisco,CA,94111","Vietnamese,Asian Fusion,Bars",The Slanted Door,(415) 861-8032,$31-60,3.5,5665
"3560 18th St,San Francisco,CA,94110","Cocktail Bars,Hungarian,Modern European",Dear Inga,,$31-60,4.5,62
"865 Market St,San Francisco,CA,94103",Mexican,Cocosueño,(415) 513-5122,$11-30,4.0,71
"500 Haight St,San Francisco,CA,94117",Chinese,YH-Beijing,(415) 355-9125,$11-30,4.5,56
"619 Taylor St,San Francisco,CA,94102","Sushi Bars,Japanese",Ryoko's,(415) 775-1028,$11-30,4.0,2992
"505 Beach St,San Francisco,CA,94133","Korean,American (New),Breakfast & Brunch",Surisan,(415) 771-8449,$11-30,4.5,1900
"1800 Mason St,San Francisco,CA,94133",Italian,Trattoria Contadina,(415) 982-5728,$11-30,4.0,1367
"2555 Judah St,San Francisco,CA,94122",Chinese,Terra Cotta Warrior,(415) 681-3288,$11-30,4.0,545
"2311 Clement St.,San Francisco,CA,94121","Barbeque,Chinese",Top SF BBQ,(415) 571-8201,$11-30,3.5,103
"5800 Geary Blvd,San Francisco,CA,94121","Moroccan,Wine Bars,Cocktail Bars",Aziza,(415) 682-4196,$31-60,4.0,1961
"2339 Clement St,San Francisco,CA,94121","Italian,Pizza,Wine Bars",Fiorella -Clement,(415) 340-3049,$11-30,4.0,444
"2221 Clement St,San Francisco,CA,94121",,Izakaya Mayumi,(415) 742-4159,,4.5,30
"1270 Valencia St,San Francisco,CA,94110",Italian,Barzotto,(415) 285-1200,$11-30,4.0,630
"1923 Fillmore St,San Francisco,CA,94115",Burgers,Roam Artisan Burgers,(415) 800-7801,$11-30,4.0,1195
"631 Kearny St,San Francisco,CA,94108","Seafood,Cantonese",R&G Lounge,(415) 982-7877,$11-30,3.5,4454
"61 Division St,San Francisco,CA,94103","Japanese,Steakhouses",Niku Steakhouse,(415) 829-7817,Above $61,4.0,230
"3218 Mission St,San Francisco,CA,94110","American (Traditional),Comfort Food,Wine Bars",Blue Plate,(415) 282-6777,$31-60,4.0,1423
"2224 Mission St,San Francisco,CA,94110",Guamanian,Prubechu,(415) 853-0671,$31-60,4.5,360
"2231 Chestnut St,San Francisco,CA,94123","Gastropubs,Bars,American (New)",The Tipsy Pig,(415) 292-2300,$11-30,3.5,1547
"517 Hayes St,San Francisco,CA,94102","Greek,Mediterranean",Souvla,(415) 400-5458,$11-30,4.0,1359
"1085 Mission St,San Francisco,CA,94103",American (New),Birdsong,(415) 369-9161,Above $61,4.5,241
"468 Castro Sreet,San Francisco,CA,94114",,Bhoga,(415) 915-4444,,4.5,103
"951 Clement St,San Francisco,CA,94118","Japanese,Hot Pot,Bars",Shabu Club,(415) 742-5265,$11-30,4.0,771
"3228 Sacramento St,San Francisco,CA,94115","American (New),Italian",Sorrel,(415) 525-3765,$31-60,4.0,217
"1152 Taylor St,San Francisco,CA,94108","Italian,Pizza",Nob Hill Cafe,(415) 776-6500,$11-30,4.0,1344
"115 New Montgomery St,San Francisco,CA,94105","Chicken Shop,Sandwiches",The Bird,(415) 872-9825,Under $10,4.0,1765
"1401 18th St,San Francisco,CA,94107","French,Burgers,Creperies",Chez Maman East,(415) 655-9542,$11-30,4.5,2069
"1050 Valencia St,San Francisco,CA,94110","Japanese,Soup",Shabu House,(415) 757-0889,$11-30,4.0,77
"615 Balboa St,San Francisco,CA,94118",American (New),The Richmond,(415) 379-8988,$31-60,4.5,679
"1099 Tennessee St,San Francisco,CA,94107",Italian,Marcella's Lasagneria,(415) 920-2225,$11-30,4.5,373
"231 Franklin St,San Francisco,CA,94102","Ramen,Izakaya",Nojo Ramen Tavern,(415) 896-4587,$11-30,4.0,850
"88 Division St,San Francisco,CA,94103","Thai,Noodles,Beer, Wine & Spirits",Saap Ver Authentic Thai Cuisine,(415) 255-8188,$11-30,4.0,467
"509 Haight St,San Francisco,CA,94117","Korean,Barbeque,Asian Fusion",Purple Rice,(415) 932-6257,$11-30,4.5,77
"126 Clement St,San Francisco,CA,94118","French,Wine Bars",Chapeau!,(415) 750-9787,$31-60,4.5,2701
"381 S Van Ness Ave,San Francisco,CA,94103",German,Walzwerk,(415) 551-7181,$11-30,4.0,986
"333 Fulton St,San Francisco,CA,94102","Scandinavian,Bars",Pläj Scandinavian Restaurant & Bar,(415) 294-8925,$31-60,4.0,674
"702 Valencia St,San Francisco,CA,94110",Pizza,Flour + Water Pizzeria,,$11-30,4.0,195
"699 Chenery St,San Francisco,CA,94131",French,Le P'tit Laurent,(415) 334-3235,$31-60,4.0,768
"1524 Irving St,San Francisco,CA,94122","Japanese,Sushi Bars",Goemon's,(415) 742-5137,$11-30,4.5,190
"400 Waller St,San Francisco,CA,94117","Thai,Noodles",Thep Eatery,(415) 913-7076,$11-30,4.5,39
"2272 Market St,San Francisco,CA,94114","Spanish,Tapas Bars,Wine Bars",Canela Bistro & Wine Bar,(415) 552-3000,$11-30,4.0,632
"1077 Mission St,San Francisco,CA,94103",Pizza,Square Pie Guys,(415) 872-9290,$11-30,4.5,208
"470 Pacific Ave,San Francisco,CA,94133","French,Italian",Quince,(415) 775-8500,Above $61,4.0,1490
"1737 Post St,Ste 337,San Francisco,CA,94115","Sushi Bars,Japanese",Oma San Francisco Station,,Above $61,4.5,191
"690 Sacramento St,San Francisco,CA,94111","Tapas Bars,Lounges,Asian Fusion",RM 212,(415) 500-2780,$11-30,4.5,406
"1550 Church St,San Francisco,CA,94131","Portuguese,Cocktail Bars",Uma Casa,(415) 829-2264,$31-60,4.0,281
"2000 Hyde St,San Francisco,CA,94109",,Abrazo,(415) 872-9239,,4.5,62
"550 Valencia St,San Francisco,CA,94110","American (Traditional),Tex-Mex,Breakfast & Brunch",West of Pecos,(415) 252-7000,$11-30,4.0,997
"405 Mason St,San Francisco,CA,94102","Hot Pot,Chinese",Happy Lamb Hot Pot,(415) 673-9919,$11-30,4.0,599
"655 Divisadero St,San Francisco,CA,94117","Seafood,Live/Raw Food",Bar Crudo,(415) 409-0679,$31-60,4.0,1828
"2345 Mission St,San Francisco,CA,94110","Mediterranean,Wine Bars,Arabian",Arabian Nights Restaurant,(415) 648-1444,$11-30,4.0,720
"517 Clement St,San Francisco,CA,94118",,Mamahuhu,(415) 742-4958,,3.5,46
"2990 24th St,San Francisco,CA,94110",American (New),Son's Addition,(415) 500-2817,$11-30,4.0,238
"2534 Mission St,San Francisco,CA,94110","Breakfast & Brunch,Mediterranean,Cocktail Bars",Foreign Cinema,(415) 648-7600,$31-60,4.0,4825
"332 Clement St,San Francisco,CA,94118",,Mokuku,(415) 702-6128,,4.0,171
"708 14th St,San Francisco,CA,94114",Vietnamese,Jasmine Garden,(415) 861-2682,$11-30,4.0,667
"201 3rd St,Ste 100,San Francisco,CA,94103","Brazilian,Steakhouses",Fogo de Chão Brazilian Steakhouse - San Francisco,(415) 427-0004,$31-60,3.5,937
"2244 Fillmore St,San Francisco,CA,94115",Italian,Via Veneto,(415) 346-9211,$11-30,4.0,252
"699 Ave Of The Palms,San Francisco,CA,94130","American (Traditional),Bars",Mersea,(415) 851-8118,$11-30,4.5,592
"855 Terry Francois St,San Francisco,CA,94158","Dive Bars,American (Traditional),Seafood",The Ramp,(415) 621-2378,$11-30,3.5,1083
"1449 Lombard St,San Francisco,CA,94123",American (New),Sugarhill Kitchen,(415) 292-2368,$11-30,4.0,82
"2162 Larkin St,San Francisco,CA,94109",Italian,Amarena,(415) 447-0441,$11-30,4.0,581
"133 Clement St,San Francisco,CA,94118",Vietnamese,Le Soleil,(415) 668-4848,$11-30,4.0,523
"307 Hayes St,San Francisco,CA,94102",Thai,Lers Ros Thai,(415) 874-9661,$11-30,3.5,802
"2291 3rd St,San Francisco,CA,94107",,Hu Tong Jian Bing,,,4.5,13
"661 Divisadero,San Francisco,CA,94117","Tapas/Small Plates,Cocktail Bars,Breakfast & Brunch",barvale,(415) 654-5211,$11-30,4.0,345
"3501 Mission St,San Francisco,CA,94110",Indian,Tilak,(415) 647-4037,$11-30,4.5,251
"1652 Stockton St,San Francisco,CA,94133","American (New),Breakfast & Brunch,Gastropubs",Park Tavern,(415) 989-7300,$31-60,4.0,1571
"1525 Fillmore St,San Francisco,CA,94115","American (New),Bars",The Progress,(415) 673-1294,Above $61,4.0,887
"1420 Irving St,San Francisco,CA,94122","Chinese,Hot Pot,Asian Fusion",IPOT,(628) 400-5970,$11-30,4.0,1015
"330 Gough St,San Francisco,CA,94102","American (New),Gluten-Free,Vegetarian",Nightbird,(415) 829-7565,Above $61,4.0,156
