Address,Category,City,Delivery,Fri,Health_Score,Highlights,Mon,Name,Phone,Price,Rating,Reviews,Sat,Smoking,Sun,Take_out,Thu,Tue,Wed,Wi_Fi
"4515 Fermi Pl,Davis,CA,95618","Sandwiches,Delis,Salad",Davis,No,10:00 am - 8:00 pm,,,10:00 am - 8:00 pm,Beach Hut Deli,(530) 756-1601,$11-30,3.0,145,10:00 am - 8:00 pm,,10:00 am - 8:00 pm,Yes,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,No
"2191 Cowell Blvd,Ste F,Davis,CA,95618","Sandwiches,American (New),Soup",Davis,No,10:00 am - 6:00 pm,,,10:00 am - 6:00 pm,Mr. Pickle's Sandwich Shop,(530) 297-1300,Under $10,4.0,114,10:00 am - 5:00 pm,,11:00 am - 5:00 pm,Yes,10:00 am - 6:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm,No
"417 Mace Blvd,Ste I,Davis,CA,95618",,Davis,Yes,11:00 am - 10:00 pm,,,11:00 am - 9:00 pm,Extreme Pizza,(530) 564-4333,,3.5,56,11:00 am - 10:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Free
"420 Hutchison Dr,Davis,CA,95616",,Davis,No,10:00 am - 5:00 pm,,,10:00 am - 7:00 pm,Spokes Grill,(530) 752-6335,,4.0,3,Closed,,Closed,Yes,10:00 am - 7:00 pm,10:00 am - 7:00 pm,10:00 am - 7:00 pm,Free
"606 Pena Dr,Davis,CA,95616",,Davis,,,,,,Wing-Time Buffalo Wing Sauces,(530) 753-0804,,5.0,1,,,,,,,,
"Davis,CA,95618","Food Trucks,Tacos",Davis,No,,,,,Yesiah Latin Food,(530) 220-7044,Under $10,4.5,3,,,,Yes,,,,No
"255 Second St,Davis,CA,95616","American (Traditional),Breakfast & Brunch,Diners",Davis,No,6:00 am - 10:00 pm,,,6:00 am - 10:00 pm,Black Bear Diner,(530) 756-4190,$11-30,3.5,515,6:00 am - 10:00 pm,,6:00 am - 10:00 pm,Yes,6:00 am - 10:00 pm,6:00 am - 10:00 pm,6:00 am - 10:00 pm,Free
"1260 Lake Blvd,Ste 103,Davis,CA,95616",Mexican,Davis,No,10:00 am - 9:00 pm,,,10:00 am - 8:30 pm,Chuy's Taqueria,(530) 756-4183,Under $10,3.5,104,10:00 am - 9:00 pm,,Closed,Yes,10:00 am - 9:00 pm,10:00 am - 8:30 pm,10:00 am - 8:30 pm,No
"1 Shields Ave,Davis,CA,95616",,Davis,,10:00 am - 3:00 pm,,,10:00 am - 4:00 pm,Mandalay Express,,,4.0,1,Closed,,Closed,,10:00 am - 4:00 pm,10:00 am - 4:00 pm,10:00 am - 4:00 pm,
"Davis,CA,95616",,Davis,,Closed,,,Closed,Bare Juices,(916) 715-7373,,3.5,9,8:00 am - 1:00 pm,,Closed,,Closed,Closed,4:30 pm - 8:30 pm,
"227 E St,Ste 1,Davis,CA,95616","Mexican,Fast Food",Davis,No,10:45 am - 10:00 pm,,,10:45 am - 10:00 pm,Chipotle Mexican Grill,(530) 758-3599,Under $10,3.0,221,10:45 am - 10:00 pm,,10:45 am - 10:00 pm,Yes,10:45 am - 10:00 pm,10:45 am - 10:00 pm,10:45 am - 10:00 pm,No
"1750 E 8th St,Davis,CA,95616",Chinese,Davis,Yes,11:00 am - 9:00 pm,,,11:00 am - 9:00 pm,Golden Sun,(530) 759-9392,Under $10,3.0,83,11:00 am - 9:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Closed,No
"239 G St,Davis,CA,95616","Cafes,Coffee & Tea",Davis,No,6:00 am - 11:00 pm,,,6:00 am - 11:00 pm,Temple Coffee Roasters,(530) 341-0574,Under $10,4.0,437,6:00 am - 11:00 pm,,6:00 am - 11:00 pm,Yes,6:00 am - 11:00 pm,6:00 am - 11:00 pm,6:00 am - 11:00 pm,Free
"223 3rd St,Davis,CA,95616","American (New),Hot Dogs,Delis",Davis,No,11:00 am - 11:00 pm,,,11:00 am - 9:00 pm,3rd and U Cafe,(530) 758-9800,$11-30,3.5,196,11:30 am - 9:00 pm,,11:30 am - 5:00 pm,Yes,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Free
"1321 W Covell Blvd,Davis,CA,95616","American (Traditional),Salad,Sandwiches",Davis,No,11:30 am - 9:00 pm,,,11:30 am - 8:00 pm,Jack's Urban Eats,(530) 753-3431,$11-30,3.0,243,11:30 am - 9:00 pm,,11:30 am - 8:00 pm,Yes,11:30 am - 9:00 pm,11:30 am - 9:00 pm,11:30 am - 9:00 pm,No
"115 E Dorset Dr,Ste B,Dixon,CA,95620","Mediterranean,Delis,Greek",Davis,Yes,10:30 am - 7:30 pm,91 out of 100,,10:30 am - 7:30 pm,S & S Deli,(707) 693-3399,Under $10,5.0,170,11:00 am - 4:30 pm,,Closed,Yes,10:30 am - 7:30 pm,10:30 am - 7:30 pm,10:30 am - 7:30 pm,Free
"200 E St,Davis,CA,95616",,Davis,,,,,,El Patio,(530) 661-9000,,3.5,38,,,,Yes,,,,
"Davis,CA","Desserts,Specialty Food,Food Stands",Davis,No,,,,,FatFace,,Under $10,4.5,17,,,,Yes,,,,No
"1020 Olive Dr,Davis,CA,95616","Fast Food,Burgers",Davis,No,10:30 am - 1:30 am,,,10:30 am - 1:00 am,In-N-Out Burger,(800) 786-1000,Under $10,4.0,397,10:30 am - 1:30 am,,10:30 am - 1:00 am,Yes,10:30 am - 1:00 am,10:30 am - 1:00 am,10:30 am - 1:00 am,No
"403 G St,Davis,CA,95616","Pizza,Persian/Iranian,Burgers",Davis,No,11:00 am - 10:00 pm,,,11:00 am - 9:00 pm,Village Pizza & Grill,(530) 750-0100,$11-30,3.5,310,11:00 am - 10:00 pm,,11:00 am - 9:00 pm,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,Free
"222 D St,Ste 10,Davis,CA,95616","Coffee & Tea,Breakfast & Brunch,Sandwiches",Davis,,8:00 am - 5:00 pm,,,8:00 am - 5:00 pm,Cloud Forest Cafe,(530) 753-2164,Under $10,4.0,232,8:00 am - 5:00 pm,,8:30 am - 5:00 pm,Yes,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,Free
"616 3rd St,Davis,CA,95616","Delis,Sandwiches",Davis,No,10:00 am - 6:00 pm,,,10:00 am - 6:00 pm,Zia's Delicatessen,(530) 750-7870,Under $10,4.0,337,10:00 am - 5:00 pm,,12:00 pm - 4:00 pm,Yes,10:00 am - 6:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm,No
"4823 Chiles Rd,Davis,CA,95618","Thai,American (Traditional),Breakfast & Brunch",Davis,Yes,"6:00 am - 3:00 pm,5:00 pm - 9:30 pm",,,"6:00 am - 3:00 pm,5:00 pm - 9:30 pm",Cindy's Restaurant,(530) 756-9894,Under $10,4.0,260,"6:00 am - 2:00 pm,5:00 pm - 9:30 pm",,"6:00 am - 2:00 pm,5:00 pm - 9:30 pm",Yes,"6:00 am - 3:00 pm,5:00 pm - 9:30 pm","6:00 am - 3:00 pm,5:00 pm - 9:30 pm","6:00 am - 3:00 pm,5:00 pm - 9:30 pm",Free
"825 Russell Blvd,Davis,CA,95616","Food Trucks,Halal,Mediterranean",Davis,Yes,10:00 am - 8:00 pm,,,10:00 am - 8:00 pm,Shah's Halal Food - University Mall,(916) 417-1917,Under $10,4.0,285,10:00 am - 8:00 pm,,10:00 am - 8:00 pm,Yes,10:00 am - 8:00 pm,10:00 am - 8:00 pm,10:00 am - 8:00 pm,No
"978 Olive Dr,Davis,CA,95616",,Davis,,,,,,Jeff Burger,,,5.0,1,,,,,,,,
"825 Russell Blvd,Ste 20A,Davis,CA,95616","Hawaiian,Barbeque",Davis,No,11:00 am - 12:00 am,,,11:00 am - 12:00 am,Ohana Hawaiian BBQ,(530) 750-1888,Under $10,3.0,313,11:00 am - 12:00 am,,11:00 am - 12:00 am,Yes,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,No
"2880 5th St,Ste 125,Davis,CA,95618","Chinese,Barbeque,Hot Pot",Davis,Yes,12:00 pm - 1:00 am,,,12:00 pm - 12:00 am,China Bistro,(530) 488-3090,$11-30,3.0,62,12:00 pm - 1:00 am,,12:00 pm - 1:00 am,Yes,12:00 pm - 1:00 am,12:00 pm - 12:00 am,12:00 pm - 12:00 am,Free
"620 G St,Davis,CA,95616","Grocery,Delis",Davis,No,7:00 am - 10:00 pm,,,7:00 am - 10:00 pm,Davis Food Co-op,(530) 758-2667,$11-30,4.0,237,7:00 am - 10:00 pm,,7:00 am - 10:00 pm,Yes,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,Free
"228 G St,Davis,CA,95616","Japanese,Sushi Bars,Buffets",Davis,No,"11:15 am - 2:30 pm,5:00 pm - 9:15 pm",,,"11:15 am - 2:30 pm,5:00 pm - 9:15 pm",Jusco Japanese Restaurant,(530) 750-2869,$11-30,3.5,296,"11:15 am - 2:30 pm,5:00 pm - 9:15 pm",,"11:15 am - 2:30 pm,5:00 pm - 9:15 pm",Yes,"11:15 am - 2:30 pm,5:00 pm - 9:15 pm","11:15 am - 2:30 pm,5:00 pm - 9:15 pm","11:15 am - 2:30 pm,5:00 pm - 9:15 pm",No
"228 G St,Davis,CA,95616",Barbeque,Davis,,11:00 am - 10:00 pm,,,11:00 am - 9:00 pm,Smokin'Ewe BBQ,(916) 712-7540,$11-30,3.5,15,11:00 am - 10:00 pm,,11:00 am - 8:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,
"212 F St,Davis,CA,95616","Pizza,Salad,Fast Food",Davis,No,11:00 am - 11:00 pm,,,11:00 am - 10:00 pm,Blaze Fast-Fire'd Pizza,(530) 200-8878,Under $10,4.0,456,11:00 am - 11:00 pm,,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No
"226 3rd St,Davis,CA,95616","Vietnamese,Chinese",Davis,Yes,10:00 am - 10:00 pm,,"Vegan friendly,Sports on TV,Locally owned & operated,Family-owned & operated,Free WiFi,Grab-and-go",10:00 am - 10:00 pm,Pho King 4,(530) 589-8888,Under $10,3.0,656,10:00 am - 10:00 pm,,11:00 am - 9:00 pm,Yes,10:00 am - 10:00 pm,10:00 am - 10:00 pm,10:00 am - 10:00 pm,Free
"715 2nd St,Davis,CA,95616",Indian,Davis,No,"11:00 am - 3:00 pm,5:00 pm - 10:00 pm",,,"11:00 am - 3:00 pm,5:00 pm - 10:00 pm",Preethi Indian Cuisine,(530) 759-2040,$11-30,3.5,301,"11:00 am - 3:00 pm,5:00 pm - 10:00 pm",,"11:00 am - 3:00 pm,5:00 pm - 10:00 pm",Yes,"11:00 am - 3:00 pm,5:00 pm - 10:00 pm","11:00 am - 3:00 pm,5:00 pm - 10:00 pm","11:00 am - 3:00 pm,5:00 pm - 10:00 pm",Free
"726 2nd St,Davis,CA,95616","Bars,American (Traditional)",Davis,No,11:00 am - 2:00 am,,,11:00 am - 10:00 pm,Froggy's Bar & Grill,(530) 758-7550,$11-30,4.0,243,9:00 am - 2:00 am,No,9:00 am - 10:00 pm,Yes,11:00 am - 2:00 am,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No
"1620 E 8th St,Davis,CA,95616","Pizza,Greek",Davis,No,"11:30 am - 2:00 pm,5:00 pm - 10:00 pm",,,"11:30 am - 2:00 pm,5:00 pm - 9:30 pm",Symposium Restaurant & Pizza House,(530) 756-3850,$11-30,3.5,162,5:00 am - 9:30 am,,4:30 pm - 8:00 pm,Yes,"11:30 am - 2:00 pm,5:00 pm - 9:30 pm","11:30 am - 2:00 pm,5:00 pm - 9:30 pm","11:30 am - 2:00 pm,5:00 pm - 9:30 pm",No
"805 2nd St,Davis,CA,95616","Mexican,Tex-Mex",Davis,No,11:00 am - 10:00 pm,,,11:00 am - 9:00 pm,Tres Hermanas,(530) 756-8737,$11-30,3.0,313,10:00 am - 10:00 pm,,10:00 am - 8:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Free
"132 E St,Davis,CA,95616","Noodles,Hot Pot,Chinese",Davis,No,11:30 am - 10:00 pm,,,11:30 am - 9:00 pm,Uniboil,(530) 758-6188,$11-30,3.0,99,11:30 am - 9:00 pm,,11:30 am - 9:00 pm,Yes,11:30 am - 9:00 pm,11:30 am - 9:00 pm,11:30 am - 9:00 pm,Free
"620 G St,Davis,CA,95616","Sushi Bars,Seafood",Davis,No,9:00 am - 6:00 pm,,,9:00 am - 6:00 pm,Mermaid Sushi,(530) 758-2667,Under $10,4.0,26,9:00 am - 6:00 pm,,9:00 am - 6:00 pm,Yes,9:00 am - 6:00 pm,9:00 am - 6:00 pm,9:00 am - 6:00 pm,Free
"2151 Cowell Blvd,Ste C,Davis,CA,95618","Hong Kong Style Cafe,Cantonese,Barbeque",Davis,No,11:00 am - 11:00 pm,,,11:00 am - 11:00 pm,Hong Kong Cafe,(408) 819-9453,Under $10,3.0,114,11:00 am - 11:00 pm,,11:00 am - 11:00 pm,Yes,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,Free
"417 Mace Blvd,Davis,CA,95616",Mexican,Davis,No,8:00 am - 9:00 pm,,,8:00 am - 9:00 pm,Taqueria Guadalajara Grill,(530) 753-6100,Under $10,4.0,328,8:00 am - 9:00 pm,,8:00 am - 9:00 pm,Yes,8:00 am - 9:00 pm,8:00 am - 9:00 pm,8:00 am - 9:00 pm,No
"630 G St,Davis,CA,95616",,Davis,,"11:00 am - 3:00 pm,5:00 pm - 10:00 pm",,,"11:00 am - 3:00 pm,5:00 pm - 9:00 pm",Kotchen,(530) 746-5946,,3.5,24,"11:30 am - 4:00 pm,5:00 pm - 10:00 pm",,"11:30 am - 4:00 pm,5:00 pm - 9:00 pm",Yes,"11:00 am - 3:00 pm,5:00 pm - 9:00 pm","11:00 am - 3:00 pm,5:00 pm - 9:00 pm","11:00 am - 3:00 pm,5:00 pm - 9:00 pm",No
"301 G St,Davis,CA,95616",Thai,Davis,No,"11:30 am - 3:00 pm,5:00 pm - 9:00 pm",,,"11:30 am - 3:00 pm,5:00 pm - 9:00 pm",Taste of Thai,(530) 297-5588,$11-30,3.5,275,12:00 pm - 9:00 pm,,12:00 pm - 9:00 pm,Yes,"11:30 am - 3:00 pm,5:00 pm - 9:00 pm","11:30 am - 3:00 pm,5:00 pm - 9:00 pm","11:30 am - 3:00 pm,5:00 pm - 9:00 pm",No
"220 3rd St,Davis,CA,95616",Middle Eastern,Davis,No,8:00 am - 9:30 pm,,,8:00 am - 9:30 pm,Ali Baba,(530) 758-2251,Under $10,3.5,311,8:00 am - 9:00 pm,,8:00 am - 9:00 pm,Yes,8:00 am - 9:30 pm,8:00 am - 9:30 pm,8:00 am - 9:30 pm,Free
"207 D St,Davis,CA,95616","Chinese,Seafood,Bars",Davis,Yes,11:00 am - 10:00 pm,,,11:00 am - 9:00 pm,Hunan Bar & Restaurant,(530) 753-5174,$11-30,3.5,297,11:00 am - 10:00 pm,Outdoor Area / Patio Only,12:00 pm - 9:00 pm,Yes,11:00 am - 9:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,No
"175 Bioletti Way,Davis,CA,95616",,Davis,,"10:00 am - 3:00 pm,5:00 pm - 8:00 pm",,,"10:00 am - 3:00 pm,5:00 pm - 8:00 pm",Latitude,(530) 754-1453,,5.0,1,Closed,,Closed,,"10:00 am - 3:00 pm,5:00 pm - 8:00 pm","10:00 am - 3:00 pm,5:00 pm - 8:00 pm","10:00 am - 3:00 pm,5:00 pm - 8:00 pm",
"737 Russell Blvd,Davis,CA,95616",Chinese,Davis,Yes,11:00 am - 10:00 pm,,,11:00 am - 10:00 pm,Chengdu Style,(530) 746-2272,$11-30,3.5,187,11:00 am - 10:00 pm,,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No
"223 G St,Davis,CA,95616","Bars,Noodles",Davis,Yes,12:00 pm - 2:30 am,,,5:00 pm - 12:00 am,Red 88 Noodle Bar,(530) 758-7338,$11-30,3.0,416,12:00 pm - 2:30 am,,12:00 pm - 12:00 am,Yes,5:00 pm - 2:30 am,5:00 pm - 12:00 am,5:00 pm - 12:00 am,Free
"129 E St D1,Davis,CA,95616","Taiwanese,Chinese,Noodles",Davis,No,11:00 am - 9:30 pm,,,11:00 am - 9:30 pm,Davis Noodle City,(530) 757-2618,Under $10,3.5,486,11:00 am - 9:30 pm,,11:00 am - 8:30 pm,Yes,11:00 am - 9:30 pm,Closed,11:00 am - 9:30 pm,Free
"622 3rd St,Davis,CA,95616",Korean,Davis,No,"11:30 am - 3:00 pm,5:00 pm - 10:00 pm",,,"11:30 am - 3:00 pm,5:00 pm - 10:00 pm",Manna Korean Restaurant,(530) 759-8888,$11-30,3.0,257,11:30 am - 10:00 pm,,11:30 am - 10:00 pm,Yes,"11:30 am - 3:00 pm,5:00 pm - 10:00 pm","11:30 am - 3:00 pm,5:00 pm - 10:00 pm","11:30 am - 3:00 pm,5:00 pm - 10:00 pm",No
"500 1st St,Ste 7,Davis,CA,95616","Halal,Middle Eastern,Mediterranean",Davis,No,11:00 am - 11:00 pm,,,11:00 am - 11:00 pm,The Halal Guys,(530) 746-2283,$11-30,3.5,198,11:00 am - 11:00 pm,,11:00 am - 11:00 pm,Yes,11:00 am - 11:00 pm,11:00 am - 11:00 pm,11:00 am - 11:00 pm,Free
"207 3rd St,Ste 230,Davis,CA,95616","Indian,Buffets",Davis,Yes,11:00 am - 8:30 pm,,,11:00 am - 8:30 pm,Raja's Tandoor,(530) 753-9664,Under $10,4.0,613,11:00 am - 8:30 pm,,11:00 am - 8:30 pm,Yes,11:00 am - 8:30 pm,11:00 am - 8:30 pm,11:00 am - 8:30 pm,No
"640 W Covell Blvd,Davis,CA,95616",Chicken Wings,Davis,No,11:00 am - 12:00 am,,,11:00 am - 12:00 am,Fire Wings,(530) 220-1310,$11-30,3.5,178,11:00 am - 12:00 am,,11:00 am - 11:00 pm,Yes,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,Free
"407 G St,Ste 4,Davis,CA,95616",,Davis,Yes,3:00 pm - 11:00 pm,,,3:00 pm - 11:00 pm,Chay Corner,(530) 746-2088,,4.0,48,12:00 pm - 11:00 pm,,12:00 pm - 11:00 pm,Yes,3:00 pm - 11:00 pm,3:00 pm - 11:00 pm,3:00 pm - 11:00 pm,Free
"726 2nd St,Davis,CA,95616","American (Traditional),Salad,Bars",Davis,No,11:00 am - 2:00 am,,,11:00 am - 10:00 pm,Tommy J's Grill & Catering,(530) 758-7550,$11-30,4.0,390,9:00 am - 2:00 am,No,9:00 am - 10:00 pm,Yes,11:00 am - 2:00 am,11:00 am - 10:00 pm,11:00 am - 10:00 pm,No
"624 4th St,Davis,CA,95616","Gluten-Free,Grocery,Organic Stores",Davis,Yes,12:00 pm - 7:30 pm,,,12:00 pm - 7:30 pm,Farmer's Kitchen,(530) 756-1862,$11-30,4.0,82,12:00 pm - 7:30 pm,,Closed,Yes,12:00 pm - 7:30 pm,12:00 pm - 7:30 pm,12:00 pm - 7:30 pm,Free
"628 4th St,Davis,CA,95616","International Grocery,Japanese,Beer, Wine & Spirits",Davis,,8:30 am - 7:00 pm,,,8:30 am - 7:00 pm,Kim's Mart Asian Food,(530) 753-5916,$11-30,4.0,205,8:30 am - 7:00 pm,,9:30 am - 6:00 pm,Yes,8:30 am - 7:00 pm,8:30 am - 7:00 pm,8:30 am - 7:00 pm,
"330 G St,Davis,CA,95616",,Davis,No,11:30 am - 9:00 pm,,,11:30 am - 9:00 pm,Hometown Taiwanese Kitchen & Bar,(530) 792-1200,,3.5,58,11:30 am - 9:00 pm,,Closed,Yes,11:30 am - 9:00 pm,11:30 am - 9:00 pm,11:30 am - 9:00 pm,Free
"5100 Chiles Rd,Ste 105,Davis,CA,95618",,Davis,,1:00 pm - 8:00 pm,,,Closed,Stand Up Kabob,(530) 746-2230,,5.0,8,1:00 pm - 8:00 pm,,Closed,,Closed,Closed,Closed,
"424 G St,Davis,CA,95616","Thai,Salad,Soup",Davis,No,"11:30 am - 2:30 pm,5:00 pm - 9:30 pm",,,Closed,Thai Nakorn,(530) 758-7775,$11-30,4.0,478,"12:00 pm - 3:00 pm,5:00 pm - 9:30 pm",,"12:00 pm - 3:00 pm,5:00 pm - 9:00 pm",Yes,5:00 pm - 9:00 pm,5:00 pm - 9:00 pm,5:00 pm - 9:00 pm,No
"109 E St,Davis,CA,95616","Ramen,Tapas/Small Plates,Izakaya",Davis,No,5:00 pm - 12:00 am,,,5:00 pm - 10:00 pm,Yakitori Yuchan,(530) 753-3196,$11-30,3.5,441,5:00 pm - 12:00 am,,5:00 pm - 10:00 pm,Yes,5:00 pm - 12:00 am,5:00 pm - 10:00 pm,5:00 pm - 10:00 pm,No
"139 G St,Davis,CA,95616","Italian,Pizza",Davis,No,11:30 am - 10:00 pm,,,11:30 am - 9:00 pm,Paesanos,(530) 758-8646,$11-30,3.5,553,11:30 am - 10:00 pm,,11:30 am - 9:00 pm,Yes,11:30 am - 9:00 pm,11:30 am - 9:00 pm,11:30 am - 9:00 pm,No
"1260 Lake Blvd,Ste 267,Davis,CA,95616","Ramen,Bubble Tea,Seafood",Davis,No,11:30 am - 10:00 pm,,,11:30 am - 10:00 pm,T-Kumi Ramen & Rice Bowl,(530) 746-5971,$11-30,4.0,224,11:30 am - 10:00 pm,,11:30 am - 10:00 pm,Yes,11:30 am - 10:00 pm,11:30 am - 10:00 pm,11:30 am - 10:00 pm,Free
"500 1st St,Ste 19,Davis,CA,95616","Japanese,Sushi Bars,Seafood",Davis,No,11:30 am - 10:00 pm,,,11:30 am - 9:30 pm,Mikuni Japanese Restaurant and Sushi Bar,(530) 756-2111,$11-30,4.0,808,11:30 am - 10:00 pm,,11:30 am - 9:00 pm,Yes,11:30 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 9:30 pm,No
"403 3rd St,Davis,CA,95616","Burgers,Bars",Davis,No,11:00 am - 3:00 am,,,11:00 am - 12:00 am,Burgers and Brew,(530) 750-3600,$11-30,4.0,1940,11:00 am - 3:00 am,No,11:00 am - 12:00 am,Yes,11:00 am - 3:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,No
"1601 Research Park Dr,Davis,CA,95618",Chinese,Davis,No,10:30 am - 10:00 pm,,,10:30 am - 10:00 pm,Four Seasons Gourmet Chinese Restaurant,(530) 758-0058,Under $10,4.5,657,10:30 am - 10:00 pm,,10:30 am - 10:00 pm,Yes,10:30 am - 10:00 pm,10:30 am - 10:00 pm,10:30 am - 10:00 pm,No
"2657 Portage Bay E,Ste 8,Davis,CA,95616",Italian,Davis,No,"11:30 am - 1:30 pm,5:30 pm - 9:00 pm",,,"11:30 am - 1:30 pm,5:30 pm - 9:00 pm",Osteria Fasulo,(530) 758-1324,$31-60,4.0,242,5:30 pm - 9:00 pm,,Closed,Yes,"11:30 am - 1:30 pm,5:30 pm - 9:00 pm","11:30 am - 1:30 pm,5:30 pm - 9:00 pm","11:30 am - 1:30 pm,5:30 pm - 9:00 pm",No
"113 D St,Davis,CA,95616","Cocktail Bars,Steakhouses",Davis,No,4:30 pm - 9:00 pm,,,Closed,D Street Steakhouse,(530) 231-5346,$11-30,4.0,213,4:30 pm - 9:00 pm,No,4:30 pm - 9:00 pm,No,4:30 pm - 9:00 pm,4:30 pm - 9:00 pm,4:30 pm - 9:00 pm,Free
"301 B St,Davis,CA,95616",Mediterranean,Davis,No,11:30 am - 7:30 pm,,,11:30 am - 7:30 pm,Sam's Mediterranean Cuisine,(530) 758-2855,Under $10,4.5,1108,12:00 pm - 7:30 pm,,Closed,Yes,11:30 am - 7:30 pm,11:30 am - 7:30 pm,11:30 am - 7:30 pm,No
"217 E St,Davis,CA,95616","Irish Pub,Whiskey Bars,Gastropubs",Davis,No,11:30 am - 2:00 am,,,11:30 am - 10:00 pm,De Vere's Irish Pub,(530) 204-5533,$11-30,4.0,703,10:00 am - 2:00 am,No,10:00 am - 10:00 pm,Yes,11:30 am - 2:00 am,11:30 am - 12:00 am,11:30 am - 2:00 am,Free
